Entry,Identity,M+.,[M+H]+,CCS (Å2),Sourceb,Retention time (min)
62,Dichloronaphthalene 5,195.9842,196.9920,131.54,Predicted,13.98
63,Dichloronaphthalene 11,195.9842,196.9920,132.34,Predicted,14.2
64,Dichloronaphthalene 12,195.9842,196.9920,132.78,Predicted,14.21
65,4-Aminoazobenzene,197.0948,198.1026,144.19,Measured,18.57
66,"Phenol, (tetrapropenyl) derivatives",198.1040,199.1118,147.16,Predicted,14.06
67,"4,4'- Diaminodiphenylmethane",198.1152,199.1230,158.25,Measured,19.41
68,"2,2’-Methylenebisphenol",200.0832,201.0910,139.69,Predicted,15.65
69,"4,4’-Methylenebisphenol",200.0832,201.0910,153.05,Measured,18.24
70,"4,4'-Oxydianiline",200.0945,201.1023,156.99,Measured,19.34
71,Fluoranthene,202.0778,203.0856,137.57,Measured,13.6
72,Pyrene,202.0778,203.0856,136.75,Measured,13.93
73,4-Chlorodiphenyl Ether,204.0337,205.0415,143.39,Predicted,12.11
74,2-Chlorodiphenyl Ether,204.0337,205.0415,141.09,Predicted,13
75,3-Chlorodiphenyl Ether,204.0337,205.0415,141.73,Predicted,13.7
76,2-(4-Tert-butylbenzyl)propionaldehyde,204.1509,205.1587,146.38,Predicted,12.57
77,(2S)-3-(4-Tert-butylphenyl)-2-methylpropanal,204.1509,205.1587,147.44,Predicted,13.09
78,(2R)-3-(4-Tert-butylphenyl)-2-methylpropanal,204.1509,205.1587,147.68,Predicted,13.09
79,Ibuprofen,206.1302,207.1380,144.00,Measured,13.97
80,Cashmeran,206.1666,207.1744,148.04,Measured,12.82
